Date,Open,High,Low,Close,Volume,Currency
2021-01-04,133.52,133.61,126.76,129.41,143302000,USD
2021-01-05,128.89,131.74,128.43,131.01,97665000,USD
2021-01-06,127.72,131.05,126.38,126.6,155088000,USD
2021-01-07,128.36,131.63,127.86,130.92,109578000,USD
2021-01-08,132.43,132.63,130.23,132.05,105158000,USD
2021-01-11,129.19,130.17,128.5,128.98,100621000,USD
2021-01-12,128.5,129.69,126.86,128.8,91951000,USD
2021-01-13,128.76,131.45,128.49,130.89,88637000,USD
2021-01-14,130.8,131.0,128.76,128.91,90222000,USD
2021-01-15,128.78,130.22,127.0,127.14,111599000,USD
2021-01-19,127.78,128.71,126.94,127.83,90757000,USD
2021-01-20,128.66,132.49,128.55,132.03,104319000,USD
2021-01-21,133.8,139.67,133.59,136.87,120530000,USD
2021-01-22,136.28,139.85,135.02,139.07,114459000,USD
2021-01-25,143.07,145.09,136.54,142.92,157612000,USD
2021-01-26,143.6,144.3,141.37,143.16,98391000,USD
2021-01-27,143.43,144.3,140.41,142.06,140844000,USD
2021-01-28,139.52,141.99,136.7,137.09,142620992,USD
2021-01-29,135.83,136.74,130.21,131.96,177524000,USD
2021-02-01,133.75,135.38,130.93,134.14,106240000,USD
2021-02-02,135.73,136.31,134.61,134.99,83305000,USD
2021-02-03,135.76,135.77,133.61,133.94,89881000,USD
2021-02-04,136.3,137.4,134.59,137.39,84183000,USD
2021-02-05,137.35,137.42,135.86,136.76,75694000,USD
2021-02-08,136.03,136.96,134.92,136.91,71297000,USD
2021-02-09,136.62,137.88,135.85,136.01,76774000,USD
2021-02-10,136.48,136.99,134.4,135.39,73047000,USD
2021-02-11,135.9,136.39,133.77,135.13,64280000,USD
2021-02-12,134.35,135.53,133.69,135.37,60145000,USD
2021-02-16,135.49,136.01,132.79,133.19,80576000,USD
2021-02-17,131.25,132.22,129.47,130.84,98085000,USD
2021-02-18,129.2,129.99,127.41,129.71,96857000,USD
2021-02-19,130.24,130.71,128.8,129.87,87669000,USD
2021-02-22,128.01,129.72,125.6,126.0,103916000,USD
2021-02-23,123.76,126.71,118.39,125.86,158272992,USD
2021-02-24,124.94,125.56,122.23,125.35,111040000,USD
2021-02-25,124.68,126.46,120.54,120.99,148200000,USD
2021-02-26,122.59,124.85,121.2,121.26,164560000,USD
2021-03-01,123.75,127.93,122.79,127.79,116308000,USD
2021-03-02,128.41,128.72,125.01,125.12,102261000,USD
