Date,Open,High,Low,Close,Volume,Currency
2021-01-04,719.46,744.49,717.19,729.77,48638188,USD
2021-01-05,723.66,740.84,719.2,735.11,32245164,USD
2021-01-06,758.49,774.0,749.1,755.98,44699964,USD
2021-01-07,777.63,816.99,775.2,816.04,51498948,USD
2021-01-08,856.0,884.49,838.39,880.02,75055528,USD
2021-01-11,849.4,854.43,803.62,811.19,59554144,USD
2021-01-12,831.0,868.0,827.34,849.44,46270720,USD
2021-01-13,852.76,860.47,832.0,854.41,33312496,USD
2021-01-14,843.39,863.0,838.75,845.0,31266328,USD
2021-01-15,852.0,859.9,819.1,826.16,38777596,USD
2021-01-19,837.8,850.0,833.0,844.55,25366980,USD
2021-01-20,858.74,859.5,837.28,850.45,25665884,USD
2021-01-21,855.0,855.72,841.42,844.99,20598132,USD
2021-01-22,834.31,848.0,828.62,846.64,20066496,USD
2021-01-25,855.0,900.4,838.82,880.8,41173396,USD
2021-01-26,891.38,895.9,871.6,883.09,23131604,USD
2021-01-27,870.35,891.5,858.66,864.16,27333956,USD
2021-01-28,820.0,848.0,801.0,835.43,26378048,USD
2021-01-29,830.0,842.41,780.1,793.53,34990752,USD
2021-02-01,814.29,842.0,795.56,839.81,25391384,USD
2021-02-02,844.68,880.5,842.2,872.79,24346212,USD
2021-02-03,877.02,878.08,853.06,854.69,18343510,USD
2021-02-04,855.0,856.5,833.42,849.99,15812661,USD
2021-02-05,845.0,864.77,838.97,852.23,18566636,USD
2021-02-08,869.67,877.77,854.75,863.42,20161720,USD
2021-02-09,855.12,859.8,841.75,849.46,15157651,USD
2021-02-10,843.63,844.82,800.02,804.82,36216088,USD
2021-02-11,812.44,829.88,801.73,811.66,21622752,USD
2021-02-12,801.26,817.33,785.33,816.12,23768312,USD
2021-02-16,818.0,821.0,792.44,796.22,19802324,USD
2021-02-17,779.09,799.84,762.01,798.15,26078898,USD
2021-02-18,780.9,794.69,776.27,787.38,17957058,USD
2021-02-19,795.0,796.79,777.37,781.3,18958256,USD
2021-02-22,762.64,768.5,710.2,714.5,37269716,USD
2021-02-23,662.13,713.61,619.0,698.84,66606880,USD
2021-02-24,711.85,745.0,694.17,742.02,36766952,USD
2021-02-25,726.15,737.21,670.58,682.22,39023856,USD
2021-02-26,700.0,706.7,659.51,675.5,41089172,USD
2021-03-01,690.11,719.0,685.05,718.43,27136240,USD
2021-03-02,718.28,721.11,685.0,686.44,23732158,USD
2021-03-03,687.99,700.7,651.71,653.2,30207960,USD
2021-03-04,655.8,668.45,600.0,621.44,65919408,USD
2021-03-05,626.06,627.84,539.49,597.95,89396456,USD
2021-03-08,600.55,620.12,558.79,563.0,51786960,USD
2021-03-09,608.18,678.09,595.21,673.58,67523328,USD
2021-03-10,700.3,717.85,655.06,668.06,60605672,USD
2021-03-11,699.4,702.5,677.18,699.6,36253892,USD
2021-03-12,670.0,694.88,666.14,693.73,33583840,USD
2021-03-15,694.09,713.18,684.04,707.94,29423480,USD
2021-03-16,703.35,707.92,671.0,676.88,32195672,USD
2021-03-17,656.87,703.73,651.01,701.81,40372452,USD
2021-03-18,684.29,689.23,652.0,653.16,33369022,USD
2021-03-19,646.6,657.23,624.62,654.87,42893976,USD
2021-03-22,684.59,699.62,668.75,670.0,39512220,USD
2021-03-23,675.77,677.8,657.51,662.16,30491870,USD
2021-03-24,667.91,668.02,630.11,630.27,33795176,USD
2021-03-25,613.0,645.5,609.5,640.39,39224848,USD
2021-03-26,641.87,643.82,599.89,618.71,33852828,USD
2021-03-29,615.64,616.48,596.02,611.29,28636984,USD
2021-03-30,601.75,637.66,591.01,635.62,39432360,USD
2021-03-31,646.62,672.0,641.11,667.93,33337288,USD
2021-04-01,688.37,692.42,659.42,661.75,35298376,USD
2021-04-05,707.71,708.16,684.7,691.05,41842768,USD
2021-04-06,690.3,696.55,681.37,691.62,28271840,USD
2021-04-07,687.0,691.38,667.84,670.97,26309432,USD
2021-04-08,677.38,689.55,671.64,683.8,23924328,USD
2021-04-09,677.77,680.97,669.43,677.02,21437088,USD
2021-04-12,685.7,704.8,682.09,701.98,29135670,USD
2021-04-13,712.7,763.0,710.66,762.32,44652808,USD
2021-04-14,770.7,780.79,728.03,732.23,49017432,USD
2021-04-15,743.1,743.69,721.31,738.85,27848900,USD
2021-04-16,728.65,749.41,724.6,739.78,27979526,USD
2021-04-19,719.6,725.4,691.8,714.63,39686224,USD
2021-04-20,717.42,737.25,710.68,718.99,35609040,USD
2021-04-21,704.77,744.84,698.0,744.12,31215514,USD
2021-04-22,741.5,753.77,718.04,719.69,35590256,USD
2021-04-23,719.8,737.36,715.46,729.4,28413888,USD
2021-04-26,741.0,749.3,732.61,738.2,31038502,USD
2021-04-27,717.96,724.0,703.35,704.74,29436996,USD
2021-04-28,696.41,708.5,693.6,694.4,22271048,USD
2021-04-29,699.51,702.25,668.5,677.0,28845448,USD
2021-04-30,667.59,715.47,666.14,709.44,40758720,USD
2021-05-03,703.8,706.0,680.5,684.9,27043144,USD
2021-05-04,678.94,683.45,657.7,673.6,29739320,USD
2021-05-05,681.06,685.3,667.34,670.94,21901894,USD
2021-05-06,680.76,681.02,650.0,663.54,27784620,USD
2021-05-07,665.8,690.0,660.22,672.37,23469172,USD
2021-05-10,664.9,665.05,627.61,629.04,31392416,USD
2021-05-11,599.24,627.1,595.6,617.2,46503896,USD
2021-05-12,602.49,620.41,586.76,589.89,33823648,USD
2021-05-13,601.54,606.46,559.65,571.69,44184916,USD
2021-05-14,583.41,592.87,570.46,589.74,33370856,USD
2021-05-17,575.55,589.73,561.2,576.83,32390360,USD
2021-05-18,568.0,596.25,563.38,577.87,36830568,USD
2021-05-19,552.55,566.21,546.98,563.46,39578396,USD
2021-05-20,575.0,588.85,571.07,586.78,30821120,USD
2021-05-21,596.11,596.68,580.0,580.88,26030596,USD
2021-05-24,581.6,614.48,573.65,606.44,34558088,USD
2021-05-25,607.31,613.99,595.71,604.69,28005932,USD
2021-05-26,607.56,626.17,601.5,619.13,28639304,USD
2021-05-27,620.24,631.13,616.21,630.85,26370592,USD
2021-05-28,628.5,635.59,622.38,625.22,22737038,USD
2021-06-01,627.8,633.8,620.55,623.9,18084890,USD
2021-06-02,620.13,623.36,599.14,605.12,23302780,USD
2021-06-03,601.8,604.55,571.22,572.84,30111892,USD
2021-06-04,579.71,600.61,577.2,599.05,24036896,USD
2021-06-07,591.83,610.0,582.88,605.13,22543682,USD
2021-06-08,623.01,623.09,595.5,603.59,26053404,USD
2021-06-09,602.17,611.79,597.63,598.78,16584566,USD
2021-06-10,603.88,616.59,600.5,610.12,23919606,USD
2021-06-11,610.23,612.56,601.52,609.89,16205303,USD
2021-06-14,612.23,625.49,609.18,617.69,20423984,USD
2021-06-15,616.69,616.79,598.23,599.36,17764144,USD
2021-06-16,597.53,608.5,593.5,604.87,22144128,USD
2021-06-17,601.89,621.47,601.34,616.6,22701350,USD
2021-06-18,613.37,628.35,611.8,623.31,24560904,USD
2021-06-21,624.48,631.39,608.88,620.83,24812740,USD
2021-06-22,618.25,628.57,615.5,623.71,19158892,USD
2021-06-23,632.0,657.2,630.04,656.57,31099228,USD
2021-06-24,674.99,697.62,667.61,679.82,45982384,USD
2021-06-25,689.58,693.81,668.7,671.87,32496708,USD
2021-06-28,671.64,694.7,670.32,688.72,21628160,USD
2021-06-29,684.65,687.51,675.89,680.76,17381312,USD
2021-06-30,679.77,692.81,678.14,679.7,18924862,USD
2021-07-01,683.92,687.99,672.8,677.92,18634522,USD
2021-07-02,678.98,700.0,673.26,678.9,27097374,USD
2021-07-06,681.71,684.0,651.4,659.58,23284450,USD
2021-07-07,664.27,665.7,638.32,644.65,18791960,USD
2021-07-08,628.37,654.43,620.46,652.81,22773316,USD
2021-07-09,653.18,658.91,644.69,656.95,18140548,USD
2021-07-12,662.87,687.08,662.87,685.7,25927042,USD
2021-07-13,686.95,692.86,666.33,668.54,20966092,USD
2021-07-14,671.0,678.34,652.98,653.38,21641190,USD
2021-07-15,657.79,666.0,637.99,650.6,20209572,USD
2021-07-16,654.68,656.7,642.2,644.22,16371000,USD
2021-07-19,629.89,647.2,621.29,646.22,21297090,USD
2021-07-20,651.99,662.39,640.5,660.5,15487127,USD
2021-07-21,659.61,664.86,650.29,655.29,13953338,USD
2021-07-22,656.44,662.17,644.6,649.26,15105727,USD
2021-07-23,646.36,648.8,637.3,643.38,14604944,USD
2021-07-26,650.24,668.16,647.11,657.62,25336556,USD
2021-07-27,663.0,666.31,627.27,644.78,32813290,USD
2021-07-28,647.25,654.91,639.84,646.98,16006596,USD
2021-07-29,649.6,683.47,649.4,677.35,30394636,USD
2021-07-30,671.76,697.53,669.0,687.2,29656400,USD
2021-08-02,699.35,726.85,698.57,709.67,33615764,USD
2021-08-03,719.1,722.25,701.13,709.74,21620252,USD
2021-08-04,710.8,724.71,709.0,710.92,17002648,USD
2021-08-05,716.0,720.93,711.6,714.63,12919637,USD
2021-08-06,711.9,716.33,697.63,699.1,15623000,USD
2021-08-09,710.16,718.9,705.13,713.76,14715349,USD
